Rank,Male name,Female name
1,Liam,Olivia
2,Noah,Emma
3,Oliver,Charlotte
4,James,Amelia
5,Elijah,Sophia
6,Mateo,Mia
7,Theodore,Isabella
8,Henry,Ava
9,Lucas,Evelyn
10,William,Luna
11,Benjamin,Harper
12,Levi,Sofia
13,Sebastian,Camila
14,Jack,Eleanor
15,Ezra,Elizabeth
16,Michael,Violet
17,Daniel,Scarlett
18,Leo,Hazel
19,Samuel,Emily
20,Owen,Lily
21,Hudson,Gianna
22,Alexander,Aurora
23,Asher,Penelope
24,Luca,Nora
25,Ethan,Aria
26,John,Chloe
27,David,Ellie
28,Jackson,Mila
29,Joseph,Avery
30,Mason,Layla
31,Luke,Abigail
32,Matthew,Ella
33,Julian,Isla
34,Dylan,Eliana
35,Jacob,Nova
36,Elias,Zoe
37,Maverick,Madison
38,Gabriel,Ivy
39,Logan,Grace
40,Aiden,Lucy
41,Thomas,Willow
42,Isaac,Emilia
43,Miles,Riley
44,Grayson,Naomi
45,Santiago,Victoria
46,Wyatt,Stella
47,Anthony,Elena
48,Carter,Hannah
49,Jayden,Valentina
50,Ezekiel,Maya
51,Caleb,Zoey
52,Cooper,Delilah
53,Josiah,Leah
54,Charles,Lainey
55,Christopher,Lillian
56,Isaiah,Paisley
57,Nolan,Genesis
58,Cameron,Madelyn
59,Nathan,Sadie
60,Joshua,Sophie
61,Kai,Leilani
62,Waylon,Addison
63,Angel,Natalie
64,Lincoln,Josephine
65,Andrew,Ruby
66,Roman,Alice
67,Adrian,Claire
68,Aaron,Kinsley
69,Ian,Everly
70,Wesley,Emery
71,Axel,Adeline
72,Thiago,Kennedy
73,Brooks,Maeve
74,Bennett,Audrey
75,Weston,Autumn
76,Rowan,Athena
77,Christian,Eden
78,Theo,Iris
79,Eli,Anna
80,Beau,Jade
81,Silas,Eloise
82,Jonathan,Maria
83,Ryan,Caroline
84,Leonardo,Brooklyn
85,Walker,Aaliyah
86,Jaxon,Quinn
87,Micah,Vivian
88,Everett,Liliana
89,Robert,Gabriella
90,Enzo,Hailey
91,Parker,Sarah
92,Jeremiah,Savannah
93,Jose,Cora
94,Colton,Madeline
95,Luka,Lydia
96,Jordan,Natalia
97,Landon,Ariana
98,Easton,Clara
99,Gael,Lyla
100,Amir,Allison
101,Austin,Aubrey
102,Jameson,Melody
103,Adam,Serenity
104,August,Millie
105,Xavier,Ayla
106,Dominic,Bella
107,Myles,Skylar
108,Damian,Josie
109,Nicholas,Lucia
110,Jace,Daisy
111,Atlas,Raelynn
112,Carson,Eva
113,Adriel,Juniper
114,Kayden,Samantha
115,Hunter,Elliana
116,River,Eliza
117,Greyson,Nevaeh
118,Emmett,Rylee
119,Harrison,Hadley
120,Vincent,Alaia
121,Milo,Julia
122,Jasper,Parker
123,Giovanni,Amara
124,Jonah,Rose
125,Zion,Charlie
126,Connor,Ashley
127,Sawyer,Remi
128,Ryder,Georgia
129,Archer,Adalynn
130,Arthur,Melanie
131,Lorenzo,Amira
132,Declan,Margaret
